surveyname,datestart,dateclose,crsnum,crsname,crsyear,deptname,crs_dir,resp_fac,eval_id,eval_uname,eval_email,tsubmit,mobile,gradyear,gender,program,research1,research2,research3,The instructor has set clear standards regarding their timeliness in responding to messages,The instructor has provided the appropriate information and contact details for technical concerns,The instructor showed interest in student progress,The instructor encourages learners to participate,The instructor implements Small Group Discussions (Breakout Rooms),The instructor provides equal opportunities for students to share ideas and viewpoints,The instructor requires learners to participate,The instructor provides platforms for Small Group Discussions,Tasks deployed require collaboration among students,The instructor interactively engages learners in a variety of instructional delivery methods,The instructor deploys various active learning techniques (role-playing  case studies  group projects  think-pair-share  debates  etc.),The instructor provides students access to resources that enrich the course content,The instructor demonstrates a thorough knowledge of the subject matter,The instructor provides examples  case studies  or problem sets that required higher-order thinking skills,The instructor explains the significance of the lessons,Tasks and assessments increase their level of challenge,The instructor provides examples or models of what is expected,Course outcomes are clearly presented,Course deadlines are clearly set,Provides reminders regarding upcoming deadlines,The instructor provides clear guidelines and/or rubrics of the learning activities,The instructor provides Information Feedback (Evaluation of Work  Answers to Questions  Comments on Submissions),The instructor provides Acknowledgment Feedback (acknowledges communication sent by student),The instructor returns assessments in a timely fashion,The instructor engages students in learning activities that address a variety of learning styles and preferences,The instructor adapts learning activities to accommodate students’ needs,Quality of work is praised,The instructor is effective in helping students develop their knowledge  skills  and personalities enabling them to achieve the intended learning outcomes,Course assessments are authentic and measure Higher-Order Thinking Skills,The instructor provides sufficient attempts in the attainment of learning outcomes,Comments on the Instructor,Comments on the Course
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103-B.C411.1T.23.24 C411,Updates in Financial Reporting Standards,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/31/23 18:30,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,N/A,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/20/23 16:49,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/15/23 15:02,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,Hard
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/13/23 16:14,1,,,Default,,,,5,5,5,5,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,"Kind, helpful, and strict.","There are many chapters discussed per week and the course is very fast-paced that it&#8217;s difficult to keep up. If possible, It would be better if only 1 or 2 topics are discussed per week."
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/1/23 15:22,0,,,Default,,,,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,great instructor helps and guides the students,quite hard but helps gain knowledge
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/24/23 20:52,1,,,Default,,,,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,"Mr. Kotah is an instructor I consider who has an incentive and a strong desire to do well and succeed in his work, I appreciate how he literally discuss his goals and objective right before we start another chapter of our course, he provides both visual aids and as well as several PowerPoint Presentations for our lesson which is accessible for us stusents anytime, he even make us a suggested notes in PDF file for us to review his lesson he discussed, in addition, I also appreciate how organize his time schedule is; which week before our exams you can already see his announcements on the things to remember during taking the exam.",Nothing else...
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/5/23 18:54,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,I am always amazed by how smart this teacher is and how well he knows and understands the lessons.,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C212.1T.23.24 C212,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/10/23 14:46,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,A great teacher and excellent instructor,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C212.1T.23.24 C212,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/2/23 20:03,0,,,Default,,,,5,5,5,5,4,5,5,4,4,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C212.1T.23.24 C212,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 15:01,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Good,Good
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C212.1T.23.24 C212,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/15/23 14:12,0,,,Default,,,,5,5,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C212.1T.23.24 C212,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/24/23 19:25,1,,,Default,,,,4,5,4,5,-1,4,4,-1,-1,4,-1,5,5,5,4,5,4,5,5,5,5,5,5,5,4,4,5,5,5,2,Blessings naman jan sir na maka survive sa BSA huhu,Difficult stuff that will make you rethink your life decisions ;))
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C212.1T.23.24 C212,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/4/23 18:08,0,,,Default,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C212.1T.23.24 C212,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/16/23 15:36,1,,,Default,,,,5,5,5,5,-1,5,5,-1,4,4,-1,5,5,5,5,5,4,5,5,5,5,5,5,5,2,2,5,3,4,3,"Can already tell that Sir Benson is knowledgeable about the course and wants us to learn like how he learned during his student days. Very accommodating and present to students concerns. I like how Sir carefully evaluates each and every activities. His way of teaching is great, but too fast phased leading to students only grasping what they can remember. Only a few students can keep up with the phase and the rest are just trying their best to catch up even if it means that they are learning only on surface level. However, teacher is very considerate when needed and always gives chance to struggling to students in order for them to not repeat the course.","Course itself is very tiring, fast and hard to grasp. I as a student, am aware that college isn't supposed to be easy and lessons are not supposed to be spoonfed anymore. But how can students keep up when we need to study for at least 5 chapters in a month while also dealing with other courses that are time demanding. Of course advance study is an option and discipline is also needed but it isn't enough to dive deeper into the topic. The oral recitation scares and pressures most of the students leading for them to choose asynchronous or synchronous sessions. The quizzes only gives you one attempt. The course lacks learning evaluation which means that proceeding to the next topic even though the most of the class are still confused by the last topic yet they have no choice but to settle with surface knowledge in order to catch up."
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C212.1T.23.24 C212,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/6/23 17:37,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Very good,Good
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C212.1T.23.24 C212,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 14:50,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,GREAT,GREAT
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C212.1T.23.24 C212,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/29/23 20:19,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,n/a,n/a
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C212.1T.23.24 C212,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 14:30,1,,,Default,,,,4,4,5,4,4,4,5,4,4,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,5,4,None,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/24/23 23:11,0,,,Default,,,,4,5,4,5,5,5,5,5,5,4,4,4,5,4,4,5,5,4,5,5,3,3,3,2,5,3,4,5,4,3,The instructor is interactive towards the students.,The course is comprehensive.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/26/23 18:23,0,,,Default,,,,5,5,4,4,4,4,4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,N/A,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/9/23 1:30,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Huh,What
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/27/23 0:25,0,,,Default,,,,4,3,3,4,-1,3,4,-1,-1,-1,-1,4,4,4,3,4,4,3,-1,-1,4,3,3,3,3,3,3,4,4,4,so far there have been some parts that were not explained clearly but other than that its ok,the course is fine
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/12/23 17:44,1,,,Default,,,,3,3,3,4,3,2,3,3,2,4,1,4,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,3,5,3,None,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 0:10,0,,,Default,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/13/23 16:20,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/30/23 21:10,0,,,Default,,,,2,3,4,3,-1,3,3,-1,-1,3,-1,3,3,3,3,4,3,3,3,3,3,3,3,2,3,2,3,3,3,3,None,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/20/23 20:46,0,,,Default,,,,2,2,3,4,2,3,4,2,4,3,2,2,2,2,2,3,2,2,4,4,3,2,3,1,2,2,2,3,3,3,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/23/23 19:24,0,,,Default,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Good,Challenging
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/16/23 1:16,1,,,Default,,,,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,2,2,2,3,3,2,2,3,3,3,3,2,None,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/21/23 12:20,1,,,Default,,,,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,N/A,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/20/23 16:23,1,,,Default,,,,2,3,2,3,1,2,1,1,1,1,1,4,2,4,2,3,4,3,3,3,3,3,4,2,2,2,2,2,3,3,"The instructor should be precise about the things they should teach and make sure that everything they are about to teach are the things they have already mastered. So far the instructor that was assigned was not able to deliver effective learnings as the instructor themself is not sure about the topic that has to be discussed. Flexibility of the time and efficiency in utilizing technology should be practiced more to give way for students that are able or unable to attend face-to-face class. Lastly, please speak clearly and avoid too much errors when talking as such making the students even more confused on what to actually follow.","The course was very interesting and informative to us students, though unfortunately because of the lack of time we did not finish the whole course and stopped midway."
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/24/23 14:33,0,,,Default,,,,4,5,4,4,3,5,3,4,5,4,2,5,5,5,5,4,4,4,3,4,4,4,5,4,2,3,4,4,5,3,The instructor did a good job in regards to delivery the sufficient lesson materials to the students and makes exercises that encourages students to learn more about the topic discussed.,This course tackles the basic fundamentals of the subject and its structure creates a comprehensible approach for students to learn at a consistent pace.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C111.1T.23.24 C111,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/15/23 19:15,0,,,Default,,,,4,5,4,5,3,5,5,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,Thank you.,Good.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/21/23 20:49,0,,,Default,,,,3,3,4,4,-1,3,-1,-1,-1,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/19/23 12:20,1,,,Default,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,na,na
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/12/23 18:24,0,,,Default,,,,5,4,4,5,-1,4,5,-1,-1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,n/a,hirap
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/12/23 19:25,1,,,Default,,,,1,1,2,2,3,3,3,1,3,1,1,1,4,4,2,4,2,1,5,2,1,3,4,1,1,1,2,2,4,1,The teaching style is not effective.,"We are already far behind from the lesson, and the teaching style of the teacher is not that effective for us. How can we excel in our studies if we are rushing our lessons?"
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/20/23 22:46,0,,,Default,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/15/23 11:12,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,considerate of her students,hard but bearable for now
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 16:28,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,N/A,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/15/23 19:09,0,,,Default,,,,5,4,5,4,-1,4,5,-1,4,5,-1,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,She teaches well and explains the parts we don't understand.,Hard but she makes it easier.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/31/23 14:38,0,,,Default,,,,5,5,5,4,-1,3,5,-1,4,4,-1,5,5,4,5,5,5,4,5,5,4,2,4,1,3,5,3,3,4,3,"I appreciate Ma'am Joson and her efforts to teach us the fundamentals of accounting even in a short time. However, I do sometimes lose track of the lesson of how fast she discusses it. Often, she would share something that is not quite related to the main topic (e.g., experiences related to the topic, quick reminders between lectures) All in all, Ma'am Joson is a great teacher for me.",No comment. The problem lies within me.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/12/23 18:10,1,,,Default,,,,4,4,2,3,2,3,3,3,3,3,2,3,5,5,5,4,3,2,2,4,2,3,4,1,3,4,2,2,3,3,My concerns are already evident on the ratings I gave her.,None so far
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/21/23 21:00,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,Nice,Very good
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/18/23 17:07,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/20/23 23:41,1,,,Default,,,,4,4,3,4,4,4,4,2,4,4,3,4,3,4,4,4,5,4,4,4,3,3,4,4,4,3,3,3,4,3,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/30/23 16:07,1,,,Default,,,,2,1,1,-1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,3,3,2,1,1,1,1,-1,1,-1,2,2,Please be more considerate to your students and be more detailed in your lessons.,.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/12/23 19:09,0,,,Default,,,,5,5,5,5,-1,5,5,-1,5,5,5,5,5,5,5,5,5,5,-1,-1,5,5,5,5,5,5,5,5,5,5,The instructor was very pleasant and accommodating. She answered every question promptly and provided timely and relevant information about the subject. The challenging exercises given during the course helped me improve my critical thinking skills.,"Although the course started late, it was still enjoyable and easy to understand. The different instructors, Sir Emba and Ma'am Joson, made the course as easy and entertaining as possible."
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/1/23 10:18,1,,,Default,,,,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,I wish the school would change the instructor.,The course itself is interesting. The real problem is the Instructor
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/12/23 21:10,1,,,Default,,,,3,2,2,2,1,3,-1,-1,3,3,-1,3,4,4,3,2,3,4,4,4,4,3,3,2,3,-1,4,3,4,-1,Has a high knowledge about the course but could have a little push on teaching.,Not so complex and less time pressure
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/29/23 21:06,1,,,Default,,,,2,2,2,3,3,2,3,2,2,2,1,2,2,3,1,4,3,2,3,3,2,2,1,2,1,1,1,1,3,1,"She's not very approachable. It seems like she's always busy and in times where we have to reach and ask her it's like she can't spend a good 5 minute to spare. Her responses to certain concerns are inconsistent. Online, she often just seen the message and reply late. She's uptight but she really knows what she teach. It's just that she can improve her way with her students.",Hard but it could be bearable if the teacher knows how to make it easy for its student.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C112.1T.23.24 C112,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/20/23 16:15,1,,,Default,,,,1,2,1,3,3,3,2,3,3,1,3,1,3,3,3,3,3,1,1,1,1,1,1,2,2,2,1,3,3,2,"Despite your busy schedule,I hope you can find time to communicate more with other students, particularly transferee students, who reach out to you regarding their concerns.",I'm hoping that there will be no more night classes for this subject.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C113.1T.23.24 C113,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900054,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/27/23 12:14,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Miss Maybelle is very good at teaching. She would find a technique for us to understand more. She is always on time.,The course is just fine
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C113.1T.23.24 C113,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900054,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/19/23 0:40,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"The professor is so fun to be with and she is always attentive to the needs of her students. She is so accommodating, and she takes one step at a time. I hope she will extend her stay in MMCM.","The course is challenging but fulfilling, it gives us the chance to discover our strengths and weaknesses as an accounting student"
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT115.C113.1T.23.24 C113,Financial Reporting 1A,1,ATYCB,Course Director,Respective Facilitator,209900054,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/1/23 15:05,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,none,none
